epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7161,2.41047,3.86699,2.61353,1e-05,0.00347,0,0,4.31031,inf,19.6888,0.0701875,0.0033125,0.0033125
2,145.022,2.40302,3.17532,2.55481,0.13772,0.07986,0.03761,0.0136,2.45756,90.4408,3.39094,0.0400559,0.00651425,0.00651425
3,213.563,2.34982,3.08541,2.51093,0.01837,0.07292,0.00723,0.00199,2.91248,5.51448,3.32224,0.00979233,0.00958399,0.00958399
4,281.162,2.28835,2.92122,2.43856,0.29678,0.1875,0.17431,0.05723,2.30693,4.70007,2.62188,0.009406,0.009406,0.009406
5,349.208,2.17944,2.74969,2.3413,0.32058,0.18056,0.15712,0.03849,2.77147,3.81347,4.98049,0.009208,0.009208,0.009208
6,415.61,2.13849,2.61108,2.27434,0.54772,0.22569,0.25202,0.08136,2.19801,3.92543,2.578,0.00901,0.00901,0.00901
7,483.893,2.06997,2.53687,2.22107,0.18795,0.21875,0.14012,0.0422,2.43635,16.6381,2.73479,0.008812,0.008812,0.008812
8,551.347,2.06207,2.52014,2.20617,0.45754,0.29861,0.34108,0.12449,2.13944,2.323,2.3624,0.008614,0.008614,0.008614
9,619.3,2.02396,2.43908,2.20128,0.13556,0.23469,0.11578,0.03256,2.43745,5.30243,2.75605,0.008416,0.008416,0.008416
10,686.397,2.0082,2.43548,2.15782,0.27146,0.26042,0.22548,0.05311,2.21686,3.96983,2.55006,0.008218,0.008218,0.008218
11,751.888,1.994,2.3379,2.14273,0.52064,0.33942,0.37037,0.13834,2.08688,2.19214,2.33831,0.00802,0.00802,0.00802
12,819.351,1.95841,2.329,2.12806,0.6028,0.26736,0.31107,0.11523,2.02988,2.73844,2.33578,0.007822,0.007822,0.007822
13,888.029,1.91692,2.24343,2.09281,0.25514,0.21875,0.17684,0.05804,2.26729,2.73038,2.51333,0.007624,0.007624,0.007624
14,955.979,1.93379,2.26968,2.10242,0.40181,0.39236,0.34596,0.12514,2.07082,2.52064,2.37395,0.007426,0.007426,0.007426
15,1024.06,1.94677,2.25547,2.09573,0.54221,0.43056,0.46539,0.17515,2.04194,2.23343,2.31237,0.007228,0.007228,0.007228
16,1092.34,1.9039,2.1575,2.0651,0.55245,0.34289,0.42516,0.16285,2.00099,2.57512,2.33201,0.00703,0.00703,0.00703
17,1161,1.87871,2.18761,2.05082,0.37263,0.31597,0.31117,0.1022,2.19766,2.54127,2.46915,0.006832,0.006832,0.006832
18,1229.02,1.91677,2.09309,2.06225,0.49752,0.35069,0.3425,0.12301,2.03775,2.99348,2.29603,0.006634,0.006634,0.006634
19,1296.42,1.83776,2.09011,2.03192,0.42271,0.43403,0.40465,0.14418,2.02134,2.17546,2.32791,0.006436,0.006436,0.006436
20,1365.17,1.86458,2.05525,2.02585,0.52537,0.29514,0.30825,0.11148,2.11029,2.41088,2.43709,0.006238,0.006238,0.006238
21,1433.81,1.83052,1.98556,1.98884,0.52304,0.46528,0.45777,0.18196,2.05512,1.95944,2.33081,0.00604,0.00604,0.00604
22,1503.32,1.82487,1.89829,1.97385,0.59711,0.38542,0.39381,0.15657,2.04883,2.25847,2.31455,0.005842,0.005842,0.005842
23,1572.89,1.7913,1.93956,1.96294,0.56959,0.4375,0.47098,0.17926,1.97916,1.97565,2.29797,0.005644,0.005644,0.005644
24,1641.84,1.808,1.89489,1.97156,0.47193,0.37847,0.40958,0.14707,2.12063,2.1257,2.37452,0.005446,0.005446,0.005446
25,1710.9,1.78988,1.90236,1.93934,0.51334,0.54167,0.55409,0.22841,1.97478,1.83695,2.25169,0.005248,0.005248,0.005248
26,1780,1.77924,1.83129,1.9394,0.69785,0.39236,0.52836,0.21198,1.94651,1.88776,2.24829,0.00505,0.00505,0.00505
27,1848.51,1.74576,1.80858,1.92998,0.6027,0.47569,0.5339,0.2102,2.04961,1.87219,2.33725,0.004852,0.004852,0.004852
28,1917.14,1.78343,1.78962,1.9281,0.66096,0.51042,0.57991,0.21554,2.14132,1.75905,2.42043,0.004654,0.004654,0.004654
29,1986.75,1.77153,1.78106,1.92376,0.57414,0.48958,0.53481,0.20891,2.05109,1.99601,2.34135,0.004456,0.004456,0.004456
30,2054.83,1.75588,1.75499,1.90937,0.59237,0.57639,0.56988,0.22385,2.01063,1.74829,2.32325,0.004258,0.004258,0.004258
31,2123.15,1.76511,1.70981,1.90913,0.72986,0.50659,0.60435,0.26679,1.956,1.80715,2.19353,0.00406,0.00406,0.00406
32,2192.15,1.72409,1.70309,1.88014,0.74607,0.57986,0.63984,0.27774,1.99845,1.67036,2.25073,0.003862,0.003862,0.003862
33,2259.64,1.72315,1.66793,1.86791,0.57893,0.56333,0.57371,0.22348,2.01162,1.92401,2.28575,0.003664,0.003664,0.003664
34,2326.29,1.73788,1.66815,1.87829,0.68374,0.548,0.6167,0.26465,2.03142,1.63328,2.32209,0.003466,0.003466,0.003466
35,2393.94,1.68806,1.60767,1.84257,0.62635,0.57639,0.62447,0.26801,1.96988,1.64478,2.20551,0.003268,0.003268,0.003268
36,2461.69,1.67301,1.57623,1.83427,0.72474,0.53024,0.59579,0.25667,1.99234,1.8295,2.25708,0.00307,0.00307,0.00307
37,2528.69,1.68628,1.55034,1.83444,0.7818,0.58681,0.66975,0.28393,2.00454,1.55382,2.27602,0.002872,0.002872,0.002872
38,2597.45,1.66726,1.53627,1.83607,0.67684,0.58681,0.6138,0.24353,2.04185,1.63671,2.28404,0.002674,0.002674,0.002674
39,2664.56,1.66638,1.53437,1.82429,0.72828,0.625,0.66665,0.28454,1.98398,1.58071,2.2031,0.002476,0.002476,0.002476
